carrier_routes_46809_extracted
street_name,range_start,range_end,even_odd,carrier_number
NAVAJO CT,3500,3699,,C087
NOKOMIS RD,3700,4099,,C087
NUTTMAN AVE,1500,1999,,C087
NUTTMAN AVE,2000,2699,,C086
OJIBWAY TRL,2400,2699,,C087
OJIBWAY TRL,2700,2999,,C086
OLD TRAIL RD,5800,7099,,C083
OLD TRAIL RD,7100,7198,E,C095
OLD TRAIL RD,7101,7199,O,C083
OLD TRAIL RD,7200,7499,,C094
OLIN AVE,3300,3499,,C086
OPECHEE WAY,2200,2599,,C087
ORCHARD LN,6000,6599,,C083
OWAISSA WAY,2100,3699,,C087
OZARK AVE,3300,3499,,C087
W PACKARD AVE,1900,2299,,C086
E PERIMETER RD,10400,11299,,C095
W PERIMETER RD,4700,11599,,R008
PINE MANOR CT,2700,2799,,C083
PINECREST DR,4600,4799,,C086
PINEWOOD DR,2700,2999,,C083
PIPER DR,3400,4299,,C095
POLYMER PL,4100,4199,,C086
PRAIRIE GROVE DR,2500,3199,,C083
PRAIRIE MEADOWS DR,9300,9399,,R008
QUIMBY ARC,3500,3599,,C087
REMINGTON DR,5700,5899,,C089
ROCKY KNOLL CT,4100,4199,,R011
ROCKY KNOLL DR,4800,5099,,R011
ROSALIA DR,5700,5899,,C089
RURODE LN,4200,4399,,R011
SAINT LOUIS AVE,2400,3099,,C095
SANDHILL DR,3200,3399,,C086
SANDPOINT RD,2100,2198,E,C089
SANDPOINT RD,2101,2199,O,C087
SANDPOINT RD,2200,2299,,C089
SANDPOINT RD,2300,2399,,C087
SANDPOINT RD,2400,2499,,C089
SANDPOINT RD,2404,2498,E,C087
SANDPOINT RD,2500,3799,,C089
SANDPOINT RD,3800,5899,,R011
SMITH RD,5300,7599,,R011
SMITH RD,7600,11899,,R008
SPRUCE DR,3500,3799,,C089
SPRUCE LN,5700,5799,,C089
TEMPLE DR,2400,8799,,C095
THORNLEY DR,4600,4799,,R011
THREE OAKS DR,3400,3799,,C089
THREE OAKS DR,3800,5099,,R011
THURBER AVE,3300,3499,,C094
TIELKER RD,4200,4499,,C086
TIMBERS DR,2401,2799,,C089
TO PE AH DR,9400,9499,,R008
TYRONE RD,4700,4798,E,C086
TYRONE RD,4701,4799,O,C089
TYRONE RD,4800,4898,E,C086
TYRONE RD,4801,4998,,C089
TYRONE RD,4901,5499,,C086
VANGUARD DR,3700,3999,,C095
VERA AVE,7600,7699,,C095
VERNON AVE,2400,2498,E,C087
VERNON AVE,2401,2499,O,C087
VERNON AVE,2500,2698,,C089
VERNON AVE,2601,2699,O,C087
VERNON AVE,2700,2798,E,C089
VERNON AVE,2701,2799,O,C087
VESEY AVE,3100,3599,,C087
WAWONAISSA TRL,2100,4099,,C087
WAYNEDALE BLVD,2500,3099,,C083
WAYNEWOOD DR,2400,3099,,C083
WENDIGO LN,2400,2599,,C086
WENDOVER RD,3200,3299,,C086
WENONAH LN,3500,4199,,C086
WESTWARD DR,2500,2698,,C094
WESTWARD DR,2801,2899,O,C095
WESTWARD DR,2900,2998,E,C094
WESTWARD DR,2901,2999,O,C095
WHIPPOORWILL DR,9100,9699,,R008
WHITNEY AVE,5700,5999,,R008
WILLOW OAKS DR,2600,3199,,C089
WINDY KNOLL CT,5000,5199,,R011
WINTERS RD,2400,4399,,C095
WINTERS RD,5400,9399,,R008
WITCHWOOD DR,2700,3099,,C083
WOODHEATH AVE,5600,5999,,C089
YEAGER DR,9100,9499,,R008
YOHNE RD,5400,8299,,R008
