street_name,range_start,range_end,even_odd,carrier_number
SCOTTSDALE DR,1600,1799,,C080
SEA PINES WAY,9500,9799,,C097
SHAMROCK RD,1600,1899,,C080
SHERWOOD DR,900,999,,C097
SHOALS DR,9400,9799,,C097
SHOREVIEW DR,1200,1799,,C080
SHOREWORTH TRL,1000,1099,,C080
SNOWFALL CT,7200,7299,,C097
SNOWFALL RD,700,799,,C097
SPRINGHILL DR,7200,7499,,C093
STEPHANS DR,400,599,,R026
SUNFLOWER CV,8900,9199,,C098
TAYLOR ST,15900,15999,,R004
THIELE RD,9600,10399,,R026
THIELE RD,10400,17899,,R004
VILLA DR,2000,2399,,C098
WAYNEWOOD DR,2300,2399,,C093
WIN AVE,1600,1799,,C080
WINCHESTER LN,900,1099,,C097
WINCHESTER RD,4900,6299,,C080
WINCHESTER RD,6300,7099,,C091
WINCHESTER RD,7100,10399,,C097
WINCHESTER RD,10400,16299,,R004
WINCHESTER RIDGE CT,600,699,,C097
WINCHESTER RIDGE DR,8600,8899,,C097
WINDJAMMER CT,500,599,,C097
WINTERS RD,400,2399,,R004
WINTERSET RD,600,799,,C091
WOHAMA DR,7400,7899,,C093
WOODHAVEN DR,1800,2099,,C080
WORTH DR,7600,7799,,C093
WYSS MEADOWS DR,8500,8599,,C097
WYSS RIDGE DR,500,799,,C097
WYSSTEAD DR,2400,2599,,R004
E YODER RD,100,3999,,R004
W YODER RD,100,2399,,R004
E 1200 N-90,4500,4998,E,R004
E 1200 N-90,5000,5998,E,R004
